,settlementDate,settlementPeriod,powerSystemResourceType,quantity
0,2018-10-20,1,"""Solar""",0
1,2018-10-20,1,"""Wind Offshore""",669.601
2,2018-10-20,1,"""Wind Onshore""",1210.038
3,2018-10-20,1,"""Other""",67
4,2018-10-20,1,"""Nuclear""",5388
5,2018-10-20,1,"""Fossil Oil""",0
6,2018-10-20,1,"""Fossil Gas""",11584
7,2018-10-20,1,"""Fossil Hard coal""",759
8,2018-10-20,1,"""Hydro Run-of-river and poundage""",471
9,2018-10-20,1,"""Hydro Pumped Storage""",0
10,2018-10-20,1,"""Biomass""",2235
11,2018-10-20,2,"""Solar""",0
12,2018-10-20,2,"""Wind Offshore""",689.503
13,2018-10-20,2,"""Wind Onshore""",1266.233
14,2018-10-20,2,"""Other""",64
15,2018-10-20,2,"""Nuclear""",5388
16,2018-10-20,2,"""Fossil Oil""",0
17,2018-10-20,2,"""Fossil Gas""",11100
18,2018-10-20,2,"""Fossil Hard coal""",691
19,2018-10-20,2,"""Hydro Run-of-river and poundage""",459
20,2018-10-20,2,"""Hydro Pumped Storage""",0
21,2018-10-20,2,"""Biomass""",1792
22,2018-10-20,3,"""Solar""",0
23,2018-10-20,3,"""Wind Offshore""",659.011
24,2018-10-20,3,"""Wind Onshore""",1486.961
25,2018-10-20,3,"""Other""",27
26,2018-10-20,3,"""Nuclear""",5394
27,2018-10-20,3,"""Fossil Oil""",0
28,2018-10-20,3,"""Fossil Gas""",11183
29,2018-10-20,3,"""Fossil Hard coal""",486
30,2018-10-20,3,"""Hydro Run-of-river and poundage""",439
31,2018-10-20,3,"""Hydro Pumped Storage""",0
32,2018-10-20,3,"""Biomass""",1804
33,2018-10-20,4,"""Solar""",0
34,2018-10-20,4,"""Wind Offshore""",687.36
35,2018-10-20,4,"""Wind Onshore""",1559.999
36,2018-10-20,4,"""Other""",26
37,2018-10-20,4,"""Nuclear""",5396
38,2018-10-20,4,"""Fossil Oil""",0
39,2018-10-20,4,"""Fossil Gas""",11607
40,2018-10-20,4,"""Fossil Hard coal""",491
41,2018-10-20,4,"""Hydro Run-of-river and poundage""",440
42,2018-10-20,4,"""Hydro Pumped Storage""",73
43,2018-10-20,4,"""Biomass""",1785
44,2018-10-20,5,"""Solar""",0
45,2018-10-20,5,"""Wind Offshore""",764.224
46,2018-10-20,5,"""Wind Onshore""",1775.182
47,2018-10-20,5,"""Other""",26
48,2018-10-20,5,"""Nuclear""",5394
49,2018-10-20,5,"""Fossil Oil""",0
50,2018-10-20,5,"""Fossil Gas""",11673
51,2018-10-20,5,"""Fossil Hard coal""",518
52,2018-10-20,5,"""Hydro Run-of-river and poundage""",440
53,2018-10-20,5,"""Hydro Pumped Storage""",0
54,2018-10-20,5,"""Biomass""",1778
55,2018-10-20,6,"""Solar""",0
56,2018-10-20,6,"""Wind Offshore""",797.213
57,2018-10-20,6,"""Wind Onshore""",1803.459
58,2018-10-20,6,"""Other""",27
59,2018-10-20,6,"""Nuclear""",5391
60,2018-10-20,6,"""Fossil Oil""",0
61,2018-10-20,6,"""Fossil Gas""",11395
62,2018-10-20,6,"""Fossil Hard coal""",244
63,2018-10-20,6,"""Hydro Run-of-river and poundage""",440
64,2018-10-20,6,"""Hydro Pumped Storage""",0
65,2018-10-20,6,"""Biomass""",1779
66,2018-10-20,7,"""Solar""",0
67,2018-10-20,7,"""Wind Offshore""",788.237
68,2018-10-20,7,"""Wind Onshore""",2103.9
69,2018-10-20,7,"""Other""",27
70,2018-10-20,7,"""Nuclear""",5251
71,2018-10-20,7,"""Fossil Oil""",0
72,2018-10-20,7,"""Fossil Gas""",10997
73,2018-10-20,7,"""Fossil Hard coal""",0
74,2018-10-20,7,"""Hydro Run-of-river and poundage""",440
75,2018-10-20,7,"""Hydro Pumped Storage""",0
76,2018-10-20,7,"""Biomass""",1775
77,2018-10-20,8,"""Solar""",0
78,2018-10-20,8,"""Wind Offshore""",789.086
79,2018-10-20,8,"""Wind Onshore""",2126.3
80,2018-10-20,8,"""Other""",27
81,2018-10-20,8,"""Nuclear""",5136
82,2018-10-20,8,"""Fossil Oil""",0
83,2018-10-20,8,"""Fossil Gas""",10529
84,2018-10-20,8,"""Fossil Hard coal""",0
85,2018-10-20,8,"""Hydro Run-of-river and poundage""",440
