,settlementDate,settlementPeriod,imbalancePriceAmountGBP
0,2018-10-09,1,79.63369
1,2018-10-09,2,79
2,2018-10-09,3,63.51
3,2018-10-09,4,79
4,2018-10-09,5,79
5,2018-10-09,6,79
6,2018-10-09,7,79
7,2018-10-09,8,79
8,2018-10-09,9,79
9,2018-10-09,10,79
10,2018-10-09,11,79
11,2018-10-09,12,79
12,2018-10-09,13,79
13,2018-10-09,14,83
14,2018-10-09,15,10
15,2018-10-09,16,90.43
16,2018-10-09,17,87.5
17,2018-10-09,18,35.36299
18,2018-10-09,19,48
19,2018-10-09,20,30
20,2018-10-09,21,30
21,2018-10-09,22,30
22,2018-10-09,23,48.1
23,2018-10-09,24,55.35
24,2018-10-09,25,55.35
25,2018-10-09,26,30
26,2018-10-09,27,30
27,2018-10-09,28,40
28,2018-10-09,29,38
29,2018-10-09,30,46.21
30,2018-10-09,31,46.88584
31,2018-10-09,32,52.5038
32,2018-10-09,33,88.07
33,2018-10-09,34,56.42742
34,2018-10-09,35,55.91512
35,2018-10-09,36,100.07
36,2018-10-09,37,100.07
37,2018-10-09,38,108.07
38,2018-10-09,39,54.48868
39,2018-10-09,40,54.21593
40,2018-10-09,41,55.2779
41,2018-10-09,42,53.12867
42,2018-10-09,43,82.57
43,2018-10-09,44,54.97037
44,2018-10-09,45,53.65677
45,2018-10-09,46,80.83296
46,2018-10-09,47,54.75
47,2018-10-09,48,48.11
48,2018-10-10,1,44.74461
49,2018-10-10,2,44.16698
50,2018-10-10,3,53.55
51,2018-10-10,4,48.39
52,2018-10-10,5,44.12
53,2018-10-10,6,44.12
54,2018-10-10,7,44.26311
55,2018-10-10,8,44.23
56,2018-10-10,9,44.77
57,2018-10-10,10,44.77
58,2018-10-10,11,58.61205
59,2018-10-10,12,79.36964
60,2018-10-10,13,87
61,2018-10-10,14,91.51279
62,2018-10-10,15,110
63,2018-10-10,16,105
64,2018-10-10,17,105
65,2018-10-10,18,101.54637
66,2018-10-10,19,103.48176
67,2018-10-10,20,56.55
68,2018-10-10,21,92.41025
69,2018-10-10,22,49.37809
70,2018-10-10,23,90
71,2018-10-10,24,79.95
72,2018-10-10,25,79.34924
73,2018-10-10,26,53.72868
74,2018-10-10,27,45.51549
75,2018-10-10,28,46.19381
76,2018-10-10,29,46.21
77,2018-10-10,30,46.21
78,2018-10-10,31,46.42916
79,2018-10-10,32,50.02986
80,2018-10-10,33,50.01734
81,2018-10-10,34,95.48778
82,2018-10-10,35,90
83,2018-10-10,36,95
84,2018-10-10,37,95.47261
85,2018-10-10,38,96.78695
86,2018-10-10,39,95.97352
87,2018-10-10,40,92.5
88,2018-10-10,41,55.5
89,2018-10-10,42,87.52459
90,2018-10-10,43,82
91,2018-10-10,44,81.5
92,2018-10-10,45,50.14262
93,2018-10-10,46,50.05
94,2018-10-10,47,80
95,2018-10-10,48,80
96,2018-10-11,1,76.82062
97,2018-10-11,2,80
98,2018-10-11,3,80
99,2018-10-11,4,80
100,2018-10-11,5,80
101,2018-10-11,6,80
102,2018-10-11,7,45.74603
103,2018-10-11,8,35.25
104,2018-10-11,9,35.25
105,2018-10-11,10,35.25
106,2018-10-11,11,46.59098
107,2018-10-11,12,46.42
108,2018-10-11,13,80
109,2018-10-11,14,60.83455
110,2018-10-11,15,50.23233
111,2018-10-11,16,50.5
112,2018-10-11,17,86.5
113,2018-10-11,18,50.54283
114,2018-10-11,19,86.5
115,2018-10-11,20,51.5
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
