Type,Week,Zone,Date,MW
WN,44,N,20181018134500,45310
WN,45,N,20181018134500,43540
WN,46,N,20181018134500,44420
WN,47,N,20181018134500,45180
WN,48,N,20181018134500,45470
WN,49,N,20181018134500,46130
WN,50,N,20181018134500,46710
WN,51,N,20181018134500,46050
WN,52,N,20181018134500,41190
WN,1,N,20181018134500,45760
WN,2,N,20181018134500,46040
WN,3,N,20181018134500,45930
WN,4,N,20181018134500,45905
WN,5,N,20181018134500,45641
WN,6,N,20181018134500,45646
WN,7,N,20181018134500,44288
WN,8,N,20181018134500,43663
WN,9,N,20181018134500,43367
WN,10,N,20181018134500,42086
WN,11,N,20181018134500,41531
WN,12,N,20181018134500,40086
WN,13,N,20181018134500,39970
WN,14,N,20181018134500,38288
WN,15,N,20181018134500,36770
WN,16,N,20181018134500,35867
WN,17,N,20181018134500,34896
WN,18,N,20181018134500,33809
WN,19,N,20181018134500,33489
WN,20,N,20181018134500,32493
WN,21,N,20181018134500,31524
WN,22,N,20181018134500,30127
WN,23,N,20181018134500,30651
WN,24,N,20181018134500,30507
WN,25,N,20181018134500,30158
WN,26,N,20181018134500,30476
WN,27,N,20181018134500,30515
WN,28,N,20181018134500,30178
WN,29,N,20181018134500,30569
WN,30,N,20181018134500,30292
WN,31,N,20181018134500,30428
WN,32,N,20181018134500,31020
WN,33,N,20181018134500,31997
WN,34,N,20181018134500,32735
WN,35,N,20181018134500,33053
WN,36,N,20181018134500,34470
WN,37,N,20181018134500,35204
WN,38,N,20181018134500,36445
WN,39,N,20181018134500,37295
WN,40,N,20181018134500,38437
WN,41,N,20181018134500,39411
WN,42,N,20181018134500,40767
WT,44,N,20181018134500,45910
WT,45,N,20181018134500,44140
WT,46,N,20181018134500,45020
WT,47,N,20181018134500,45780
WT,48,N,20181018134500,46070
WT,49,N,20181018134500,46730
WT,50,N,20181018134500,47310
WT,51,N,20181018134500,46650
WT,52,N,20181018134500,41790
WT,1,N,20181018134500,46360
WT,2,N,20181018134500,46640
WT,3,N,20181018134500,46530
WT,4,N,20181018134500,46505
WT,5,N,20181018134500,46241
WT,6,N,20181018134500,46246
WT,7,N,20181018134500,44888
WT,8,N,20181018134500,44263
WT,9,N,20181018134500,43967
WT,10,N,20181018134500,42686
WT,11,N,20181018134500,42131
WT,12,N,20181018134500,40686
WT,13,N,20181018134500,40570
WT,14,N,20181018134500,38888
WT,15,N,20181018134500,37370
WT,16,N,20181018134500,36467
WT,17,N,20181018134500,35496
WT,18,N,20181018134500,34409
WT,19,N,20181018134500,34089
WT,20,N,20181018134500,33093
WT,21,N,20181018134500,32124
WT,22,N,20181018134500,30727
WT,23,N,20181018134500,31251
WT,24,N,20181018134500,31107
WT,25,N,20181018134500,30758
WT,26,N,20181018134500,31076
WT,27,N,20181018134500,31115
WT,28,N,20181018134500,30778
WT,29,N,20181018134500,31169
WT,30,N,20181018134500,30892
WT,31,N,20181018134500,31028
WT,32,N,20181018134500,31620
WT,33,N,20181018134500,32597
WT,34,N,20181018134500,33335
WT,35,N,20181018134500,33653
WT,36,N,20181018134500,35070
WT,37,N,20181018134500,35804
WT,38,N,20181018134500,37045
WT,39,N,20181018134500,37895
WT,40,N,20181018134500,39037
WT,41,N,20181018134500,40011
WT,42,N,20181018134500,41367
WM,44,N,20181018131000,5278
WM,45,N,20181018131000,8519
WM,46,N,20181018131000,8387
WM,47,N,20181018131000,8545
WM,48,N,20181018131000,9143
WM,49,N,20181018131000,10174
WM,50,N,20181018131000,8917
WM,51,N,20181018131000,11188
WM,52,N,20181018131000,17984
WM,1,N,20181018131000,13615
WM,2,N,20181018131000,12111
WM,3,N,20181018131000,11292
WM,4,N,20181018131000,11879
WM,5,N,20181018131000,11716
WM,6,N,20181018131000,12079
WM,7,N,20181018131000,13349
WM,8,N,20181018131000,12847
WM,9,N,20181018131000,12953
WM,10,N,20181018131000,12649
WM,11,N,20181018131000,12621
WM,12,N,20181018131000,11740
WM,13,N,20181018131000,12243
WM,14,N,20181018131000,9466
WM,15,N,20181018131000,9628
WM,16,N,20181018131000,10188
WM,17,N,20181018131000,11035
WM,18,N,20181018131000,12297
WM,19,N,20181018131000,12026
WM,20,N,20181018131000,12723
WM,21,N,20181018131000,14030
WM,22,N,20181018131000,17109
WM,23,N,20181018131000,11909
WM,24,N,20181018131000,10783
WM,25,N,20181018131000,13811
WM,26,N,20181018131000,13727
WM,27,N,20181018131000,14235
WM,28,N,20181018131000,14239
WM,29,N,20181018131000,14672
WM,30,N,20181018131000,16497
WM,31,N,20181018131000,16947
WM,32,N,20181018131000,13733
WM,33,N,20181018131000,14550
WM,34,N,20181018131000,13636
WM,35,N,20181018131000,13180
WM,36,N,20181018131000,13688
WM,37,N,20181018131000,11704
WM,38,N,20181018131000,12489
WM,39,N,20181018131000,12111
WM,40,N,20181018131000,13530
WM,41,N,20181018131000,12412
WM,42,N,20181018131000,10341
OCNMFW2,44,N,20181018131100,9840
OCNMFW2,45,N,20181018131100,13117
OCNMFW2,46,N,20181018131100,12953
OCNMFW2,47,N,20181018131100,13095
OCNMFW2,48,N,20181018131100,13688
