HDR,SYSTEM FREQUENCY DATA
FREQ,20181010103745,50.190
FREQ,20181010103800,50.175
FREQ,20181010103815,50.178
FREQ,20181010103830,50.125
FREQ,20181010103845,50.125
FREQ,20181010103900,50.107
FREQ,20181010103915,50.075
FREQ,20181010103930,50.052
FREQ,20181010103945,50.032
FREQ,20181010104000,50.020
FREQ,20181010104015,50.027
FREQ,20181010104030,49.962
FREQ,20181010104045,49.980
FREQ,20181010104100,49.987
FREQ,20181010104115,49.980
FREQ,20181010104130,49.997
FREQ,20181010104145,49.972
FREQ,20181010104200,50.025
FREQ,20181010104215,49.997
FREQ,20181010104230,50.010
FREQ,20181010104245,50.037
FREQ,20181010104300,50.012
FREQ,20181010104315,49.980
FREQ,20181010104330,50.010
FREQ,20181010104345,49.980
FREQ,20181010104400,49.945
FREQ,20181010104415,50.007
FREQ,20181010104430,49.987
FREQ,20181010104445,49.972
FREQ,20181010104500,49.957
FREQ,20181010104515,49.960
FREQ,20181010104530,49.947
FREQ,20181010104545,49.997
FREQ,20181010104600,50.007
FREQ,20181010104615,49.970
FREQ,20181010104630,49.947
FREQ,20181010104645,49.960
FREQ,20181010104700,49.965
FREQ,20181010104715,49.962
FREQ,20181010104730,49.992
FREQ,20181010104745,50.010
FREQ,20181010104800,50.035
FREQ,20181010104815,50.017
FREQ,20181010104830,50.025
FREQ,20181010104845,50.017
FREQ,20181010104900,50.052
FREQ,20181010104915,49.965
FREQ,20181010104930,49.957
FREQ,20181010104945,49.950
FREQ,20181010105000,49.962
FREQ,20181010105015,49.980
FREQ,20181010105030,50.007
FREQ,20181010105045,49.980
FREQ,20181010105100,49.965
FREQ,20181010105115,49.967
FREQ,20181010105130,49.952
FREQ,20181010105145,49.980
FREQ,20181010105200,50.000
FREQ,20181010105215,49.990
FREQ,20181010105230,50.025
FREQ,20181010105245,50.055
FREQ,20181010105300,50.057
FREQ,20181010105315,50.050
FREQ,20181010105330,50.052
FREQ,20181010105345,50.070
FREQ,20181010105400,50.057
FREQ,20181010105415,50.060
FREQ,20181010105430,50.040
FREQ,20181010105445,50.040
FREQ,20181010105500,50.040
FREQ,20181010105515,50.060
FREQ,20181010105530,50.055
FREQ,20181010105545,50.075
FREQ,20181010105600,50.062
FREQ,20181010105615,50.080
FREQ,20181010105630,50.122
FREQ,20181010105645,50.127
FREQ,20181010105700,50.105
FREQ,20181010105715,50.105
FREQ,20181010105730,50.085
FREQ,20181010105745,50.105
FREQ,20181010105800,50.082
FREQ,20181010105815,50.045
FREQ,20181010105830,50.057
FREQ,20181010105845,50.052
